gamerid	score	city	country
1	1234123	nyc	usa
1345	4356344	nyc	usa
1	5676745	nyc	usa
156	8765745	nyc	usa
167	8996808	nyc	usa
1787	3453423	nyc	usa
212	4563455	nj	usa
231	2342342	la	fr
4	3425355	ga	nr
2	1234221	nj	usa
234	2134212	nj	usa
438	6786757	bl	it
598	8765654	ca	ge
4871	3421324	nv	it
267	2342343	nj	usa	
5	4523455	ca	ge
845	9879328	re	mx
934	6765753	ta	ca
732	2635432	or	in
1018	1234353	ri	en
1	1231242	va	ir
12	1232456	wv	usa
1476	8980088	fl	usa
1481	0002343	fl	usa
155	0002343	tx	usa
153	0000123	tx	usa
1309	0000121	il	ba
1430	0000112	fl	usa
