gamerid	score	city	country
1	1234123	nyc	usa
1	4356344	nyc	usa
1	5676745	nyc	usa
1	8765745	nyc	usa
1	8996808	nyc	usa
1	3453423	nyc	usa
2	4563455	nj	usa
23	2342342	la	fr
4	3425355	ga	nr
2	1234221	nj	usa
2	2134212	nj	usa
43	6786757	bl	it
5	8765654	ca	ge
4	3421324	nv	it
2	2342343	nj	usa	
5	4523455	ca	ge
8	9879328	re	mx
9	6765753	ta	ca
7	2635432	or	in
10	1234353	ri	en
11	1231242	va	ir
12	1232456	wv	usa
14	8980088	fl	usa
14	0002343	fl	usa
15	0002343	tx	usa
15	0000123	tx	usa
13	0000121	il	ba
14	0000112	fl	usa
